,date_time,n_crisis,n_baseline,n_difference,percent_change,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey,time_index
110,2020-04-06 1600,223.0,270.8,-47.8,-17.586460632818,7.4060455628667725,3.9990234375,7.4060455628667725,3.9111328125,122220303123.0,122220303122.0,2
111,2020-04-06 1600,17.0,17.6,-0.6,-3.2258064516129,7.4060455628667725,3.9990234375,7.493194291140946,3.9111328125,122220303123.0,122220303120.0,2
112,2020-04-06 1600,3844.0,2617.4,1226.6,46.84540177207501,7.4060455628667725,3.9990234375,7.4060455628667725,3.9990234375,122220303123.0,122220303123.0,2
113,2020-04-06 1600,74.0,48.4,25.6,51.821862348177994,7.4060455628667725,3.9990234375,7.493194291140946,3.9990234375,122220303123.0,122220303121.0,2
114,2020-04-06 1600,42.0,33.2,8.8,25.730994152047,7.4060455628667725,3.9990234375,7.318879600953956,3.9990234375,122220303123.0,122220303301.0,2
115,2020-04-06 1600,21.0,30.8,-9.8,-30.817610062893,7.318879600953956,3.9990234375,7.4060455628667725,3.9990234375,122220303301.0,122220303123.0,2
116,2020-04-06 1600,15.0,17.6,-2.6,-13.978494623656001,7.318879600953956,3.9990234375,7.4060455628667725,3.9111328125,122220303301.0,122220303122.0,2
117,2020-04-06 1600,43.0,25.8,17.2,64.179104477612,7.493194291140946,3.9990234375,7.493194291140946,3.9111328125,122220303121.0,122220303120.0,2
118,2020-04-06 1600,46.0,35.6,10.4,28.415300546448,7.493194291140946,3.9990234375,7.4060455628667725,3.9990234375,122220303121.0,122220303123.0,2
119,2020-04-06 1600,662.0,361.2,300.8,83.04803975704,7.493194291140946,3.9990234375,7.493194291140946,3.9990234375,122220303121.0,122220303121.0,2
120,2020-04-06 1600,37.0,36.2,0.8,2.1505376344086002,7.318879600953956,3.9990234375,7.318879600953956,3.9111328125,122220303301.0,122220303300.0,2
121,2020-04-06 1600,18.0,14.4,3.6,23.376623376623,7.493194291140946,4.0869140625,7.4060455628667725,3.9990234375,122220303130.0,122220303123.0,2
122,2020-04-06 1600,24.0,22.0,2.0,8.695652173913,7.231696603775597,3.8232421875,7.318879600953956,3.8232421875,122220303213.0,122220303211.0,2
123,2020-04-06 1600,29.0,43.4,-14.4,-32.432432432432,7.231696603775597,3.8232421875,7.318879600953956,3.9111328125,122220303213.0,122220303300.0,2
124,2020-04-06 1600,23.0,22.2,0.8,3.448275862069,7.4060455628667725,3.7353515625,7.4060455628667725,3.8232421875,122220303032.0,122220303033.0,2
125,2020-04-06 1600,185.0,179.0,6.0,3.3333333333332997,7.318879600953956,3.8232421875,7.4060455628667725,3.8232421875,122220303211.0,122220303033.0,2
126,2020-04-06 1600,31.0,40.0,-9.0,-21.951219512195,7.4060455628667725,3.9990234375,7.318879600953956,3.9111328125,122220303123.0,122220303300.0,2
127,2020-04-06 1600,10.0,14.0,-4.0,-26.666666666667,7.4060455628667725,3.9990234375,7.318879600953956,3.8232421875,122220303123.0,122220303211.0,2
128,2020-04-06 1600,15.0,21.0,-6.0,-27.272727272727,7.4060455628667725,3.9990234375,7.4060455628667725,3.8232421875,122220303123.0,122220303033.0,2
129,2020-04-07 0000,47.0,27.4,19.6,69.014084507042,7.318879600953956,3.9990234375,7.4060455628667725,3.9990234375,122220303301.0,122220303123.0,3
130,2020-04-07 0000,46.0,30.0,16.0,51.612903225806,7.318879600953956,3.9990234375,7.318879600953956,3.9111328125,122220303301.0,122220303300.0,3
131,2020-04-07 0000,752.0,453.4,298.6,65.713028169014,7.493194291140946,3.9990234375,7.493194291140946,3.9990234375,122220303121.0,122220303121.0,3
132,2020-04-07 0000,554.0,346.0,208.0,59.942363112391995,7.318879600953956,3.9990234375,7.318879600953956,3.9990234375,122220303301.0,122220303301.0,3
133,2020-04-07 0000,11.0,22.0,-11.0,-47.826086956522,7.318879600953956,3.9990234375,7.4060455628667725,3.9111328125,122220303301.0,122220303122.0,3
134,2020-04-07 0000,17.0,10.6,6.4,55.172413793103,7.4060455628667725,4.086914062500001,7.4060455628667725,3.9990234375,122220303132.0,122220303123.0,3
135,2020-04-07 0000,28.0,28.8,-0.8,-2.6845637583892996,7.493194291140946,3.9990234375,7.493194291140946,3.9111328125,122220303121.0,122220303120.0,3
136,2020-04-07 0000,23.0,47.0,-24.0,-50.0,7.493194291140946,3.9990234375,7.4060455628667725,3.9111328125,122220303121.0,122220303122.0,3
137,2020-04-07 0000,47.0,34.6,12.4,34.831460674157,7.493194291140946,3.9990234375,7.4060455628667725,3.9990234375,122220303121.0,122220303123.0,3
138,2020-04-07 0000,45.0,36.8,8.2,21.693121693122002,7.4060455628667725,3.9990234375,7.493194291140946,3.9990234375,122220303123.0,122220303121.0,3
139,2020-04-07 0000,4173.0,3096.6,1076.4,34.749483471074,7.4060455628667725,3.9990234375,7.4060455628667725,3.9990234375,122220303123.0,122220303123.0,3
140,2020-04-07 0000,11.0,24.4,-13.4,-52.755905511811,7.4060455628667725,3.9990234375,7.318879600953956,3.9111328125,122220303123.0,122220303300.0,3
141,2020-04-07 0000,29.0,26.2,2.8,10.294117647059,7.4060455628667725,3.9990234375,7.318879600953956,3.9990234375,122220303123.0,122220303301.0,3
142,2020-04-07 0000,4482.0,3809.0,673.0,17.664041994751,7.318879600953956,3.9111328125,7.318879600953956,3.9111328125,122220303300.0,122220303300.0,3
143,2020-04-07 0000,31.0,27.6,3.4,11.888111888111998,7.493194291140946,3.9111328125,7.493194291140946,3.9990234375,122220303120.0,122220303121.0,3
144,2020-04-07 0000,2478.0,2036.6,441.4,21.662740478994998,7.493194291140946,3.9111328125,7.493194291140946,3.9111328125,122220303120.0,122220303120.0,3
145,2020-04-07 0000,155.0,191.4,-36.4,-18.918918918919,7.493194291140946,3.9111328125,7.4060455628667725,3.9111328125,122220303120.0,122220303122.0,3
146,2020-04-07 0000,206.0,340.2,-134.2,-39.331770222743,7.4060455628667725,3.9111328125,7.4060455628667725,3.8232421875,122220303122.0,122220303033.0,3
147,2020-04-07 0000,18.0,38.0,-20.0,-51.282051282051,7.4060455628667725,3.9111328125,7.318879600953956,3.9990234375,122220303122.0,122220303301.0,3
148,2020-04-07 0000,163.0,306.4,-143.4,-46.649316851007995,7.4060455628667725,3.9111328125,7.4060455628667725,3.9990234375,122220303122.0,122220303123.0,3
149,2020-04-07 0000,127.0,251.0,-124.0,-49.206349206349,7.4060455628667725,3.9111328125,7.493194291140946,3.9111328125,122220303122.0,122220303120.0,3
150,2020-04-07 0000,7744.0,7653.6,90.4,1.180989209103,7.4060455628667725,3.9111328125,7.4060455628667725,3.9111328125,122220303122.0,122220303122.0,3
151,2020-04-07 0000,146.0,298.0,-152.0,-50.83612040133799,7.4060455628667725,3.9111328125,7.318879600953956,3.9111328125,122220303122.0,122220303300.0,3
152,2020-04-07 0000,24.0,27.0,-3.0,-10.714285714286,7.493194291140946,3.9111328125,7.493194291140946,3.8232421875,122220303120.0,122220303031.0,3
153,2020-04-07 0000,44.0,57.4,-13.4,-22.945205479452,7.4060455628667725,3.9111328125,7.493194291140946,3.9990234375,122220303122.0,122220303121.0,3
154,2020-04-07 0000,149.0,226.8,-77.8,-34.152765583845,7.318879600953956,3.9111328125,7.4060455628667725,3.9111328125,122220303300.0,122220303122.0,3
155,2020-04-07 0000,42.0,106.0,-64.0,-59.81308411215,7.4060455628667725,3.9111328125,7.318879600953956,3.8232421875,122220303122.0,122220303211.0,3
156,2020-04-07 0000,45.0,75.8,-30.8,-40.104166666667,7.318879600953956,3.9111328125,7.4060455628667725,3.8232421875,122220303300.0,122220303033.0,3
157,2020-04-07 0000,102.0,164.4,-62.4,-37.726723095526,7.318879600953956,3.9111328125,7.318879600953956,3.8232421875,122220303300.0,122220303211.0,3
158,2020-04-07 0000,36.0,40.0,-4.0,-9.756097560975599,7.318879600953956,3.9111328125,7.318879600953956,3.9990234375,122220303300.0,122220303301.0,3
159,2020-04-07 0000,19.0,53.6,-34.6,-63.369963369962996,7.4060455628667725,3.9111328125,7.493194291140946,3.8232421875,122220303122.0,122220303031.0,3
160,2020-04-07 0000,165.0,236.4,-71.4,-30.075821398484003,7.4060455628667725,3.9990234375,7.4060455628667725,3.9111328125,122220303123.0,122220303122.0,3
161,2020-04-07 0000,15.0,14.6,0.4,2.5641025641026003,7.4060455628667725,3.8232421875,7.493194291140946,3.9111328125,122220303033.0,122220303120.0,3
162,2020-04-07 0000,23.0,24.6,-1.6,-6.25,7.493194291140946,3.8232421875,7.4060455628667725,3.8232421875,122220303031.0,122220303033.0,3
163,2020-04-07 0000,403.0,329.8,73.2,22.128174123337,7.493194291140946,3.8232421875,7.493194291140946,3.8232421875,122220303031.0,122220303031.0,3
164,2020-04-07 0000,22.0,32.8,-10.8,-31.952662721893,7.493194291140946,3.8232421875,7.4060455628667725,3.9111328125,122220303031.0,122220303122.0,3
165,2020-04-07 0000,23.0,21.2,1.8,8.1081081081081,7.493194291140946,3.8232421875,7.493194291140946,3.9111328125,122220303031.0,122220303120.0,3
